ID,Father,Mother,Spouse,Xpos,Ypos,Sex,Ancestor,Title,Name,Surname,Birthdate,month,year,Deathdate,month,year,Image
45,0,0,44,0.1,0.1,0,0,0,Daniel,Chatto,22,4,1957,0,0,0,0
46,44,45,0,0.1,0.1,0,0,0,Samuel,Chatto,28,7,1996,0,0,0,0
47,44,45,0,0.1,0.1,0,0,0,Arthur,Chatto,5,2,1999,0,0,0,0
48,49,50,51,0.1,0.1,0,0,0,George V,Albert,3,6,1865,20,1,1936,0
49,58,59,50,0.1,0.1,0,0,0,Edward VII,Edward,9,11,1841,6,5,1910,0
50,0,0,49,0.1,0.1,1,0,0,Alexandra,Julia,1,12,1844,1,1,1903,0
51,0,0,48,0.1,0.1,1,0,0,Mary,Agnes,26,5,1867,24,3,1953,0
52,48,51,53,0.1,0.1,0,0,0,Edward VIII,David,23,6,1894,28,5,1972,0
53,0,0,52,0.1,0.1,1,0,0,Wallis,Simpson,19,6,1898,24,4,1986,0
54,48,51,0,0.1,0.1,1,0,0,Victoria,Mary,25,4,1897,28,3,1965,0
55,48,51,0,0.1,0.1,0,0,0,Henry,Albert,31,3,1900,10,6,1974,0
56,48,51,0,0.1,0.1,0,0,0,George,Albert,20,12,1902,25,8,1942,0
57,48,51,0,0.1,0.1,0,0,0,John,Albert,12,7,1905,18,1,1919,0
58,68,69,59,0.1,0.1,1,0,0,Victoria,Windsor,20,6,1937,22,1,1901,0
59,0,0,58,0.1,0.1,0,0,0,Albert,Emmanuel,26,8,1819,14,11,1861,0
60,58,59,0,0.1,0.1,1,0,0,Victoria,Louisa,21,11,1840,5,8,1901,0
61,58,59,0,0.1,0.1,1,0,0,Alice,Mary,9,11,1841,6,5,1910,0
62,58,59,0,0.1,0.1,0,0,0,Alfred,Albert,6,8,1844,31,7,1900,0
63,58,59,0,0.1,0.1,1,0,0,Helena,Victoria,25,5,1846,9,6,1923,0
64,58,59,0,0.1,0.1,1,0,0,Louise,Alberta,18,3,1848,3,12,1939,0
65,58,59,0,0.1,0.1,0,0,0,Arthur,Albert,1,5,1850,16,1,1942,0
66,58,59,0,0.1,0.1,0,0,0,Leopold,Albert,7,4,1853,28,3,1884,0
67,58,59,0,0.1,0.1,1,0,0,Beatrice,Feodore,14,4,1857,26,10,1944,0
68,0,0,69,0.1,0.1,0,0,0,William IV,Windsor,21,8,1765,20,6,1837,0
69,0,0,68,0.1,0.1,1,0,0,Adelaide,Caroline,13,8,1792,2,12,1849,0
